,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
16,16,1.0,0.9378,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'pandemic', 'good_ventilation', 'particularly', 'public_space', 'became_major', 'public', 'health', 'concern']"
17,17,0.0,0.7754,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['helpful', 'update', 'month', 'mark', 'third', 'anniversary', 'coronavirus', 'become', 'global', 'pandemic', 'world', 'went_into', 'lockdown', 'million', 'still', 'suffer', 'symptom', 'long', 'covid', 'condition', 'doctor', 'try', 'urgently']"
18,18,2.0,0.5542,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['know', 'happen', 'perez', 'covid', 'lockdown', 'make', 'lose', 'pair', 'hasn', 'able', 'grow', 'pair', 'downfall', 'nigh', 'next', 'couple', 'decade', 'charge']"
19,19,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
20,20,1.0,0.7597,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['skinner', 'stop', 'start_attitude', 'education', 'led_school', 'shut_due', 'covid']"
21,21,3.0,0.7602,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['fine', 'now', 'humbly', 'accept', 'breach', 'covid', 'law', 'boris_johnson', 'fine', 'prime_minister', 'apologise', 'receive', 'fix', 'penalty', 'notice', 'lockdown', 'break', 'party']"
22,22,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
23,23,1.0,0.972,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['same', 'attitude', 'world', 'handmaid', 'tale', 'force', 'masking', 'religious', 'conservative', 'dystopia', 'real', 'force', 'mask', 'dystopia', 'experience', 'leave', 'wing', 'amp', 'public', 'health', 'so']"
24,24,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
25,25,0.0,0.519,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['land', 'fertile', 'locate', 'outskirt', 'city', 'live', 'land', 'hilly', 'still', 'lot', 'tree', 'amp', 'land', 'go', 'hiding', 'feel', 'lockdown', 'forest', 'clearing', 'covid']"
26,26,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
27,27,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
28,28,2.0,0.6479,"covid, lockdown, people, day, make, happen, post, mental, population, hlth",['say']
29,29,0.0,0.944,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'dystopian', 'lockdown', 'still', 'know_absolutely', 'nobody_personally', 'die', 'covid']"
30,30,0.0,0.6161,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['next', 'twrnewsdesk', 'year', 'ago', 'week', 'see', 'announcement', 'first', 'covid', 'lockdown']"
31,31,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
32,32,0.0,0.7674,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['keep', 'safe', 'mga', 'pre', 'protect', 'covid', 'here', 'free', 'video', 'cheer']"
33,33,0.0,0.6705,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['next', 'twrnewsdesk', 'year', 'ago', 'week', 'see', 'announcement', 'first', 'covid', 'lockdown', 'reflect', 'personal', 'cultural', 'impact', 'pandemic', 'tune']"
34,34,1.0,0.7039,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['increase', 'normal', 'respiratory', 'disease', 'morality', 'burden', 'teen', 'age', 'alcohol', 'drug']"
35,35,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
36,36,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
37,37,0.0,0.8571,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid', 'life', 'same']"
38,38,0.0,0.7997,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['province', 'support']"
39,39,1.0,0.9654,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['laugh', 'joke', 'bloody', 'corrupt', 'politician', 'bloody', 'li', 'tell', 'public', 'covid', 'lockdown', 'restriction', 'stick', 'covid', 'rule', 'government', 'give']"
40,40,0.0,0.4682,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'calendar', 'writer', 'already', 'support', 'encourage', 'each_oth', 'about', 'year']"
41,41,3.0,0.4712,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['day', 'ik', 'very', 'clear', 'strategy', 'cope', 'covid', 'introduce', 'smart', 'lockdown', 'avert', 'econom']"
42,42,0.0,0.9363,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['video', 'today', 'mark', 'year', 'put', 'covid', 'hard', 'lockdown']"
43,43,2.0,0.8698,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['population_density', 'sweden', 'km', 'population_density']"
44,44,1.0,0.973,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['datum', 'show', 'increase', 'incidence', 'new', 'cpp', 'diagnose', 'as', 'well', 'fast', 'rate', 'pubertal', 'progression', 'previously', 'diagnose', 'patient', 'lockdown', 'covid', 'suggest', 'environmental', 'factor', 'such']"
45,45,1.0,0.5528,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'lockdown', 'increase', 'newly', 'diagnose', 'central', 'precocious', 'puberty', 'case', 'concomitant', 'acceleration', 'pubertal', 'progression', 'patient', 'previously', 'diagnose', 'untreated', 'slow', 'progression', 'cpp']"
46,46,0.0,0.4794,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'lockdown', 'here', 'covid', 'teach', 'grief', 'appalachia']"
47,47,1.0,0.7448,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['stay', 'home', 'lockdown', 'measure', 'covid', 'pandemic', 'impact', 'health', 'relate', 'behaviour', 'see']"
48,48,3.0,0.7994,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['remember', 'indian_new', 'country', 'went_into', 'nationwide', 'lockdown', 'combat', 'spread']"
49,49,0.0,0.7204,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['read', 'morning', 'important', 'journalism', 'donate']"
50,50,3.0,0.7995,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['remember', 'indian_new', 'country', 'went_into', 'nationwide', 'lockdown', 'combat', 'spread']"
51,51,0.0,0.9077,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['first', 'lockdown', 'show', 'support', 'amp', 'appreciation', 'healthcare', 'worker', 'frontline', 'covid', 'pandemic', 'participate', 'tribute', 'unique', 'form', 'solidarity', 'risk', 'life', 'save', 'other', 'convey', 'message', 'hope', 'unity']"
52,52,1.0,0.8941,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['as', 'readily', 'deal', 'covid', 'lol']"
53,53,3.0,0.7919,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['look', 'trend', 'other', 'country', 'avert', 'second', 'wave', 'covid', 'mak']"
54,54,0.0,0.7567,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['cook', 'scare', 'model', 'use', 'justify', 'global', 'lockdown']"
55,55,0.0,0.8572,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid', 'life', 'same']"
56,56,2.0,0.5434,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['case', 'folk', 'forget', 'wild', 'go', 'full', 'lockdown', 'year', 'barely', 'peep', 'people', 'then', 'come', 'so', 'call', 'issue', 're', 'up', 'arm', 'ready', 'fight']"
57,57,3.0,0.4575,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['total', 'waste', 'time']"
58,58,0.0,0.457,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'calendar', 'writer', 'already', 'support', 'encourage', 'each_oth', 'about', 'year', 'covid', 'lockdown', 'bring', 'need', 'find', 'inspiration', 'hamont', 'dunda', 'book']"
59,59,2.0,0.477,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['only', 'lockdown', 'once', 'deal', 'century', 'there', 'day', 'slow', 'spread']"
60,60,3.0,0.5655,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['take', 'input', 'covid', 'strategy', 'tegnell', 'delay', 'lockdown', 'cause', 'death']"
61,61,3.0,0.6325,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['broooo', 'campaign', 'day', 'extremely', 'disruptive', 'too', 'crowd', 'people', 'shop', 'easy', 'manage', 'so', 'say', 'kenyan', 'political', 'expression', 'new', 'even', 'covid', 'lockdown', 'happen']"
62,62,0.0,0.5835,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['surprised', 'year', 'covid', 'lockdown', 'watershed', 'now', 'very', 'specific', 'direct', 'people', 'most', 'especially', 'dubious', 'cunny', 'nigerian']"
63,63,1.0,0.8068,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['become_increasingly', 'common', 'cases_filed', 'ugandan_court', 'party', 'rely', 'lockdown', 'frustrat']"
64,64,1.0,0.716,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['province', 'support', 'most', 'liberal', 'voting', 'province', 'well', 'state', 'come', 'good', 'decision']"
65,65,3.0,0.5816,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['ceo', 'peak', 'first', 'covid', 'lockdown', 'work', 'industry', 'lay', 'business', 'shut', 'value', 'chain', 'business', 'shut', 'nbsfaceoff', 'nbsupdate']"
66,66,3.0,0.9118,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['sell', 'coffin', 'dance', 'nft', 'ethereum', 'dancing', 'pall']"
67,67,1.0,0.6536,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'case', 'rise', 'amp', 'sage', 'advise', 'short', 'lockdown', 'use', 'sunak', 'invite', 'tegnell', 'gupta', 'meet', 'advise', 'lockdown', 'delay', 'amp', 'die', 'needlessly', 'now', 'learn', 'ivor', 'cummin', 'appear', 'influence', 'tegnell']"
68,68,3.0,0.6338,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['covid', 'lockdown', 'cash', 'scarcity', 'situation', 'bad']"
69,69,3.0,0.5655,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['take', 'input', 'covid', 'strategy', 'tegnell', 'delay', 'lockdown', 'cause', 'death']"
70,70,2.0,0.6473,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['non_motorized', 'policy', 'design', 'corridor']"
71,71,0.0,0.9288,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['early', 'on', 'covid', 'semi', 'lockdown', 'hotel', 'lot']"
72,72,2.0,0.6618,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['week', 'mark', 'year', 'national', 'day', 'reflection', 'thursday_visite']"
73,73,3.0,0.8816,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['community_teste', 'border_control', 'limit_importe', 'cases_weren', 'even_considere']"
74,74,0.0,0.9363,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['video', 'today', 'mark', 'year', 'put', 'covid', 'hard', 'lockdown']"
75,75,0.0,0.4511,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'first', 'covid', 'lockdown', 'launch', 'urgent', 'appeal', 'thank', 'wen']"
76,76,2.0,0.4428,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['small', 'town', 'people', 'healthy', 'live', 'long', 'simple', 'reason']"
77,77,2.0,0.4428,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['small', 'town', 'people', 'healthy', 'live', 'long', 'simple', 'reason']"
78,78,0.0,0.8855,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'covid', 'hard', 'lockdown']"
79,79,1.0,0.9511,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['novelist', 'school', 'occupy', 'wallstreet', 'file', 'tragedy', 'golden', 'birthday', 'church', 'peace', 'symbol', 'lockdown']"
80,80,2.0,0.4428,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['small', 'town', 'people', 'healthy', 'live', 'long', 'simple', 'reason']"
81,81,1.0,0.6865,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['day', 'lockdown', 'time', 'tell', 'doctor', 'understand', 'virus', 'real', 'idea', 'treat', 'check', 'moderna']"
82,82,0.0,0.4396,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'impact', 'covid', 'fertility', 'treatment', 'report', 'highlight', 'impact']"
83,83,0.0,0.8502,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'compulsory', 'hol']"
84,84,0.0,0.6847,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['rabbi', 'deliver', 'countless', 'eulogy', 'find', 'word', 'say', 'own', 'father', 'funeral', 'read', 'tribute', 'die', 'age', 'week', 'first', 'covid', 'lockdown', 'uk']"
85,85,2.0,0.642,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['year', 'memorie', 'watu', 'hawatakua', 'sure', 'happen', 'history', 'book']"
86,86,2.0,0.6473,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['non_motorized', 'policy', 'design', 'corridor']"
87,87,2.0,0.642,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['year', 'memorie', 'watu', 'hawatakua', 'sure', 'happen', 'history', 'book']"
88,88,2.0,0.6473,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['non_motorized', 'policy', 'design', 'corridor']"
89,89,2.0,0.8903,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['society', 'lose', 'ritual', 'covid', 'lockdown', 'take', 'away', 'traditional', 'grief', 'practice', 'teach', 'latest_commentary', 'explore', 'appalachian', 'grief', 'tradition', 'year', 'later']"
90,90,0.0,0.4675,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'memorie', 'watu', 'hawatakua', 'sure', 'happen', 'history', 'book', 'year', 'argue', 'lockdown', 'wasn', 'call', 'covid']"
91,91,1.0,0.7062,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['account', 'stress', 'covid', 'bear', 'day', 'household', 'gang', 'hold', 'accountable', 'lockdown']"
92,92,2.0,0.6473,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['non_motorized', 'policy', 'design', 'corridor']"
93,93,2.0,0.6473,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['non_motorized', 'policy', 'design', 'corridor']"
94,94,2.0,0.4104,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['non_motorized', 'policy', 'design', 'corridor', 'road', 'commence', 'corridor', 'complete', 'first', 'covid', 'lockdown']"
95,95,1.0,0.4729,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['good', 'job', 'jess', 'do', 'very', 'well', 'think', 'leader', 'disobey', 'covid', 'rule', 'register', 'offender', 'lie', 'tooth', 'buy', 'drug', 'road', 'lockdown', 'know']"
96,96,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
97,97,1.0,0.4311,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['today', 'mark', 'year', 'lockdown', 'impact', 'covid', 'fertility', 'treatment', 'report', 'highlight', 'impact', 'pandemic', 'fertility', 'treatment', 'fertility', 'service', 'patient', 'fertility', 'covid']"
98,98,1.0,0.8156,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['controversy', 'erupt', 'reportedly', 'buy', 'cell', 'phone', 'datum', 'monitor', 'covid', 'lockdown', 'compliance']"
99,99,1.0,0.6754,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['secretly', 'track', 'phone', 'covid', 'lockdown', 'report']"
100,100,2.0,0.6618,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['week', 'mark', 'year', 'national', 'day', 'reflection', 'thursday_visite']"
101,101,2.0,0.6618,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['week', 'mark', 'year', 'national', 'day', 'reflection', 'thursday_visite']"
102,102,0.0,0.3127,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['tell', 'death', 'stand', 'remember', 'die', 'gold', 'die', 'artificial', 'intelligence', 'weapon', 'testing', 'observe', 'report', 'peacefully', 'defeat', 'covid', 'lockdown', 'lockout']"
103,103,0.0,0.9488,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['still', 'feel', 'unreal', 'today', 'year', 'ago', 'lockdown', 'covid', 'pandemic', 'covid']"
104,104,2.0,0.8871,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['rt', 'perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health', 'ch']"
105,105,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
106,106,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
107,107,1.0,0.7597,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['skinner', 'stop', 'start_attitude', 'education', 'led_school', 'shut_due', 'covid']"
108,108,1.0,0.5743,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'change', 'city', 'didn']"
109,109,3.0,0.4889,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['context', 'place', 'government', 'scenario', 'wave', 'death', 'shortag']"
110,110,1.0,0.7095,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['work', 'home', 'earn', 'money', 'online', 'lock', 'retweet', 'lockdown', 'workfromhome']"
111,111,2.0,0.6618,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['week', 'mark', 'year', 'national', 'day', 'reflection', 'thursday_visite']"
112,112,2.0,0.6618,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['week', 'mark', 'year', 'national', 'day', 'reflection', 'thursday_visite']"
113,113,1.0,0.5996,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['part', 'longish', 'essay', 'discuss', 'team', 'finding', 'more', 'detail', 'accessible', 'here', 'part', 'part', 'credit', 'entire', 'student', 'research', 'team']"
114,114,0.0,0.9295,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'today', 'remarkable', 'image', 'capital', 'street']"
115,115,0.0,0.9295,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'today', 'remarkable', 'image', 'capital', 'street']"
116,116,0.0,0.9029,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['just', 'bcoz', 'covid', 'lockdown', 'asthe']"
117,117,0.0,0.4511,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'first', 'covid', 'lockdown', 'launch', 'urgent', 'appeal', 'thank', 'wen']"
118,118,1.0,0.9445,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['theorising', 'truly', 'distort', 'left', 'way', 'think', 'ever', 'recover', 'inability', 'bo']"
119,119,0.0,0.4511,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'first', 'covid', 'lockdown', 'launch', 'urgent', 'appeal', 'thank', 'wen']"
120,120,1.0,0.4243,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['year', 'ago', 'first', 'covid', 'lockdown', 'launch', 'urgent', 'appeal', 'thank', 'go', 'raise', 'tune', 'morning', 'see', 'ceo', 'talk', 'impact', 'funding', 'so', 'far']"
121,121,1.0,0.9445,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['theorising', 'truly', 'distort', 'left', 'way', 'think', 'ever', 'recover', 'inability', 'bo']"
122,122,0.0,0.6028,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['think', 'win', 'balaji', 'prediction', 'become', 'reality', 'same', 'person', 'predict', 'first', 'lockdown', 'covid', 'also', 'people', 'laugh', 'bitcoin', 'bankcrisis']"
123,123,1.0,0.8021,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['time', 'end', 'current', 'covid', 'lockdown', 'actually', 'qualify', 'age', 'vaccine']"
124,124,1.0,0.9224,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['shocking_trail', 'bhumi_pednekar', 'film', 'covid', 'lockdown', 'migration_taken', 'series']"
125,125,1.0,0.4681,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['new', 'money', 'old', 'money', 'greed', 'wealth', 'pull', 'wool', 'eye', 'almost', 'kingpin', 'gate', 'mandate', 'lockdown', 'week', 'asymptomatic', 'turn', 'year', 'successful', 'remedy', 'take', 'early', 'onset', 'covid', 'pull', 'pharmaceutical', 'shelf', 'wharehouse', 'stockpile']"
126,126,1.0,0.7867,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['good', 'way', 'beat', 'covid', 'related', 'lockdown', 'stress', 'bhai', 'stay', 'cheerful']"
127,127,1.0,0.4807,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['happy', 'back', 'business', 'zoo', 'owner', 'thivillon', 'laugh', 'next', 'chimpanzee', 'window', 'saint']"
128,128,1.0,0.9312,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['another_skill', 'got_out', 'covid', 'lockdown', 'making_scented', 'candles_might', 'start_selle', 'house_smell']"
129,129,1.0,0.9445,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['theorising', 'truly', 'distort', 'left', 'way', 'think', 'ever', 'recover', 'inability', 'bo']"
130,130,3.0,0.5013,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['apply', 'laptop', 'tablet', 'child', 'need', 'home', 'schooling', 'lockdown', 'here']"
131,131,1.0,0.7003,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['state', 'north', 'even', 'press', 'georgian', 'get', 'vax', 'tout', 'safe', 'buy', 'never', 'mask', 'never', 'stay', 'home', 'never', 'get', 'vax', 'covid', 'available']"
132,132,1.0,0.9445,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['theorising', 'truly', 'distort', 'left', 'way', 'think', 'ever', 'recover', 'inability', 'bo']"
133,133,3.0,0.7919,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['look', 'trend', 'other', 'country', 'avert', 'second', 'wave', 'covid', 'mak']"
134,134,1.0,0.9312,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['another_skill', 'got_out', 'covid', 'lockdown', 'making_scented', 'candles_might', 'start_selle', 'house_smell']"
